Name,Type,Country,City,Website,Check Size / AUM,Focus / Description,Contact / Notes
Viaductus,Advisory / Platform,Germany,,https://www.viaductus.de,,"Knowledge resource on search funds and business succession in Germany. Collaborates with New Mittelstand community. Connects searchers with financing sources and investors.",
Ostreum,Advisory / Platform,Germany,,https://www.ostreum.com,,"Maintains evolving list of traditional search funds in DACH. Blog and resource hub for German search fund ecosystem. Tracks search fund deals and investor activity.",
Siparex Group,PE Fund,France,Paris / Lyon,https://www.siparex.com,"EUR 3.7B AUM","Founded 1977. Independent French PE firm. Investor in EPA Investissements (first French SF-dedicated fund). Growth financing/venture capital/private debt. Through Siparex Entrepreneurs arm.",
Bpifrance,Sovereign Fund / DFI,France,Paris,https://www.bpifrance.fr,"23 locations. EUR 1-7M direct investments","French Sovereign Fund. Small-cap direct investments (EUR 0.5-7M). Fund of funds for small-cap PE. Minority co-investment. Long-term horizon. Anchor LP for French funds including search fund vehicles.",
Calcium Capital,PE Fund,France,Paris,,"17 portfolio companies (incl. DiliTrust and Stych). Fund II: EUR 100M","Founded 2012. Invests in SMEs in and around France. Second fund reached EUR 100M target with ~40 individual subscribers. Small/mid-cap buyouts.",
Altheo Partners,Multi-Family Office,France,Paris,https://www.altheo.com,,"Established 2015. Organizes and administers family assets. Long-term cross-functional approach. Referenced in connection with search fund / MBI / MBO landscape in France.",
Innovafonds,PE Fund,France,,https://www.innovafonds.fr,"Partenaire Managers I (PM I): EUR 115M. ~EUR 200M total raised","Specializes in industrial and services-to-industry sectors. PM I fund attracts institutional investors (Bpifrance/insurers/banks/family offices). Small-cap and SMID-cap industrial focus. Potential fit for industrial search funds.",
Spice Capital Partners,Multi-Family Office,UK / Europe,,https://www.spicecapital.com,,"UK-based multi-family office. Activities across Europe (Luxembourg/UK/France). Entrepreneurial spirit and family roots. Cross-asset class advisory. Potential search fund LP.",
INSEAD ETA & Search Funds Hub,Academic / Community,France,Fontainebleau,https://clubs.insead.edu/searchfund/,,"100+ search funds and ETA vehicles launched by INSEAD alumni. Annual ETA Conference. Connects students/alumni/investors. Key networking hub for French/European search fund ecosystem.",
HEC Search Fund & ETA Club,Academic / Community,France,Paris,https://www.hecalumni.fr,,"HEC Paris alumni network for search fund entrepreneurs and investors. Events and networking. Thomas Duteil (Trajan Capital) is HEC 2007 alumni.",
Vigía Capital,Search Fund,Spain,,https://vigiacapital.com,,"Entrepreneur-created investment firm. Acquires/operates/grows companies in Spain. Backed by Inversiones Cabiedes and ALZA Capital and Vonzeo Capital.",
Emptio Capital,Search Fund / Fundless Sponsor,Spain,Madrid,,"EV EUR 4-25M targets","Founded 2020. Acquires and operates existing private companies in Spain. Most recent investment: Recambiofacil. Staged financing model.",
7mills Equity Partners,Search Fund,Netherlands,,https://www.7mills.com,,"Entrepreneur-led search fund. Acquiring and growing a single great business in the Netherlands and DACH region. Led by Niels Siskens.",
SaloMonte Partners,Search Fund,Netherlands,,,"First successful traditional SF in Netherlands","Founded September 2023 by Duco. First successful traditional search fund in the Netherlands. Acquired Hotek Hospitality Group in November 2024.",
Bruno Lea,Individual Investor / Search CEO,France,,,"Acquired Performer CNC (EUR 19M revenue / EUR 1.8M EBITDA)","Most active French former searcher supporting new search funds. President of Haas France/Spain/Maghreb and NewLife CNC. Performer Group: EUR 50M revenue / 80 employees / 5 countries.",
Pierre-Paul Benoit,Individual Investor,France,,,"Co-founder LeFonds Capital","Ex-Societe Generale. Private investor and co-founder of LeFonds Capital. One of the most active French search fund investors.",
Guerric Faure,Individual Investor,France,,,"Co-founder LeFonds Capital","Entrepreneur and co-founder of LeFonds Capital (FPCI targeting EUR 20M for search fund investments in France and abroad).",
Thomas Duteil,Individual Investor,France,Paris,,"Founding Partner Trajan Capital","HEC Paris 2007. Founded Trajan Capital in partnership with Edmond de Rothschild. Specialist in capital and managerial transfer of French SMEs.",
Guillaume Raux,Individual Investor,France,,,"Founder EPA Investissements","15 years experience at Naxicap Partners. Created France's first investment vehicle fully dedicated to search funds. Backed by Siparex.",
Francois Simon,Individual Investor,France,,,"Founder Cameleon Invest","Founded Cameleon Invest in 2009. Family investment and consulting. Invests in funds and directly through search funds."
